,city,statecode,date,sold,value,region
161,"Akron, OH",OH,2021-07-01,937.0,185238.36796011636,Midwest
162,"Akron, OH",OH,2021-08-01,933.0,186014.03061129712,Midwest
163,"Akron, OH",OH,2021-09-01,949.0,185627.02574490523,Midwest
164,"Akron, OH",OH,2021-10-01,863.0,185049.700743134,Midwest
165,"Akron, OH",OH,2021-11-01,771.0,184971.18393840335,Midwest
166,"Akron, OH",OH,2021-12-01,788.0,185328.95948517657,Midwest
167,"Akron, OH",OH,2022-01-01,544.0,187034.48182901027,Midwest
168,"Akron, OH",OH,2022-02-01,524.0,189713.4981151741,Midwest
169,"Akron, OH",OH,2022-03-01,621.0,192982.93488183967,Midwest
170,"Akron, OH",OH,2022-04-01,636.0,195768.62908370237,Midwest
171,"Akron, OH",OH,2022-05-01,781.0,197824.03661577316,Midwest
172,"Akron, OH",OH,2022-06-01,850.0,199663.33517218265,Midwest
173,"Akron, OH",OH,2022-07-01,746.0,200768.64702935703,Midwest
174,"Akron, OH",OH,2022-08-01,836.0,201293.5281769264,Midwest
175,"Akron, OH",OH,2022-09-01,773.0,201239.0639537948,Midwest
176,"Akron, OH",OH,2022-10-01,649.0,201298.6910501824,Midwest
177,"Akron, OH",OH,2022-11-01,582.0,201487.96637678487,Midwest
178,"Akron, OH",OH,2022-12-01,525.0,201650.73062060765,Midwest
179,"Albany, NY",NY,2008-02-01,316.0,212743.16628721464,Northeast
180,"Albany, NY",NY,2008-03-01,360.0,212335.28613826985,Northeast
181,"Albany, NY",NY,2008-04-01,388.0,211937.40137281944,Northeast
182,"Albany, NY",NY,2008-05-01,474.0,212156.52081102788,Northeast
183,"Albany, NY",NY,2008-06-01,553.0,212597.2152621717,Northeast
184,"Albany, NY",NY,2008-07-01,556.0,212841.9939650946,Northeast
185,"Albany, NY",NY,2008-08-01,605.0,212347.45625683415,Northeast
186,"Albany, NY",NY,2008-09-01,503.0,211546.3834935932,Northeast
187,"Albany, NY",NY,2008-10-01,509.0,210767.92160108613,Northeast
188,"Albany, NY",NY,2008-11-01,415.0,209923.14642041517,Northeast
189,"Albany, NY",NY,2008-12-01,385.0,209222.04776597803,Northeast
190,"Albany, NY",NY,2009-01-01,232.0,208651.9816926696,Northeast
191,"Albany, NY",NY,2009-02-01,210.0,208161.693277634,Northeast
192,"Albany, NY",NY,2009-03-01,301.0,207694.2583557727,Northeast
193,"Albany, NY",NY,2009-04-01,311.0,207006.64921690716,Northeast
194,"Albany, NY",NY,2009-05-01,362.0,206312.0301218788,Northeast
195,"Albany, NY",NY,2009-06-01,509.0,205506.86654155012,Northeast
196,"Albany, NY",NY,2009-07-01,591.0,204893.3346548572,Northeast
197,"Albany, NY",NY,2009-08-01,571.0,204575.6390276471,Northeast
198,"Albany, NY",NY,2009-09-01,499.0,204454.33870539692,Northeast
199,"Albany, NY",NY,2009-10-01,548.0,204672.12156519917,Northeast
200,"Albany, NY",NY,2009-11-01,555.0,204937.32284047268,Northeast
